theta_it,Metric_1,Metric_2,Metric_3
0.0,0.6109672924371663,0.03772130638166406,0.07310342294293573
0.005,0.6100090727948331,0.03970931019207884,0.06207787924912822
0.01,0.6092228412934315,0.04257853519963992,0.059758485601398216
0.015000000000000003,0.6078111983704606,0.04377460857673281,0.06491024087434229
0.02,0.6070160324201793,0.04593025290141113,0.06924657194242546
0.025,0.6051040603599529,0.045114910935946655,0.07491094163874058
0.030000000000000006,0.6038621719656935,0.045179752124923714,0.08586740504426345
0.035,0.6018943595999695,0.04269700721723616,0.09445250300368763
0.04,0.6002839251894283,0.040756017509854484,0.10091850260823836
0.045,0.5986377529833686,0.038308989736168315,0.10579761687783523
0.05,0.5974896763023447,0.03702466210552119,0.10961782678831346
0.05500000000000001,0.5962656568058446,0.035863335824865554,0.1127828437320029
0.06000000000000001,0.5955106958755214,0.035950423047301915,0.11534692066009138
0.065,0.5947244643741199,0.035514741385036255,0.11744540270816624
0.07,0.5941593604824875,0.035907383331210685,0.11932533626016813
0.075,0.5933195222878085,0.03595291428235153,0.12096039448380241
0.08,0.5925667949697053,0.036334812641052754,0.12237757703973445
0.085,0.5916242106129113,0.03682594424356557,0.1237441303749047
0.09,0.5910189017013209,0.038128290903095184,0.12534806101636825
0.095,0.5895893898805907,0.03783661537863349,0.1265464910228425
0.1,0.588539592137242,0.03822451144661901,0.12776283616378947
