theta_ct,Metric_1,Metric_2,Metric_3
0.0,0.5951220473492604,0.03560315892494731,0.11282315185654541
0.001,0.5959127460751019,0.03558267272923056,0.11173411306367723
0.002,0.5971903722648794,0.03638592492017361,0.11032690007627424
0.003,0.5987851713898815,0.0377264183947872,0.10866657790158496
0.004,0.6005474914313754,0.03970114967301727,0.10674076643076767
0.005,0.6017000353368391,0.040724565038060635,0.10456304764221402
0.006,0.6025689104903766,0.04140552248490211,0.10240750388225425
0.007000000000000001,0.6036946510492016,0.04289158233666682,0.1003789632503909
0.008,0.6046819076503935,0.044035214758243985,0.09767943640994811
0.009,0.6051554334410102,0.044401215017812884,0.09470999524434834
0.01,0.6055440819672714,0.04519605748190848,0.09138683899634265
0.011,0.6050504536666752,0.04363311207458039,0.08746611889193727
0.012,0.6047064773848121,0.04276635138777757,0.08320373921350757
0.013000000000000001,0.6037996308235365,0.04147332758680862,0.07961364360804313
0.014000000000000002,0.6040631970654837,0.041993721538290035,0.07738782537184863
0.015,0.6047064773848122,0.04341019500425609,0.07401745208043853
0.016,0.6054703727640149,0.04549902548862551,0.06869237924322652
0.017,0.6049387730556809,0.04698227405127271,0.06099648855068845
0.018,0.6037013518858612,0.04966764386697084,0.05084042514590876
0.019,0.6006703401034693,0.05251182335656345,0.03963111015992496
0.02,0.595769794893029,0.05625099505080834,0.03126155286640439
